schema_version,repo_full_name,repo_url,stars,primary_language,github_description,github_topics,detected_instruction_artifacts,ci_evidence,release_evidence,agent_product_flag,sample_stratum,primary_label,secondary_tags,confidence,evidence_notes,annotator_id,annotation_round,adjudication_status,adjudicated_label,adjudication_notes
0.2,0-AI-UG/cate,https://github.com/0-AI-UG/cate,1662,,,,"{""matched_paths"": [""src/agent/extensions/subagent/prompts/implement.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,tags=1; releases=1,true,stars:1000+|artifact:*.prompt.md,,,,,,,,,
0.2,0niel/university-app,https://github.com/0niel/university-app,246,,,,"{""matched_paths"": ["".cursor/rules/cache.md""], ""queries"": ["".cursor/rules""]}",.github/workflows; test/,tags=1; releases=1,true,stars:200-999|artifact:.cursor/rules,,,,,,,,,
0.2,0xdpfly/gin-app-start,https://github.com/0xdpfly/gin-app-start,37,,,,"{""matched_paths"": ["".cursor/rules/CLAUDE.md""], ""queries"": ["".cursor/rules""]}",go.mod,,true,stars:10-49|artifact:.cursor/rules,,,,,,,,,
0.2,1Password/SCAM,https://github.com/1Password/SCAM,130,,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",tests/,,true,stars:50-199|artifact:AGENTS.md,,,,,,,,,
0.2,1amageek/SwiftAgent,https://github.com/1amageek/SwiftAgent,89,,,,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=0,true,stars:50-199|artifact:CLAUDE.md,,,,,,,,,
0.2,1jehuang/jcode,https://github.com/1jehuang/jcode,7179,,,,"{""matched_paths"": [""crates/jcode-base/src/prompt/system_prompt.md""], ""queries"": [""system_prompt.*""]}",.github/workflows; Cargo.toml; tests/,tags=1; releases=1,true,stars:1000+|artifact:system_prompt.*,,,,,,,,,
0.2,2030ai/2030ai-claudecode-allecosystem-sync,https://github.com/2030ai/2030ai-claudecode-allecosystem-sync,10,,,,"{""matched_paths"": [""PROMPT.md""], ""queries"": [""*.prompt.md""]}",tests/,,true,stars:10-49|artifact:*.prompt.md,,,,,,,,,
0.2,26d0/vrchat-ime-chat,https://github.com/26d0/vrchat-ime-chat,19,,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; go.mod,tags=1; releases=1,true,stars:10-49|artifact:.clinerules,,,,,,,,,
0.2,3MFConsortium/gladius,https://github.com/3MFConsortium/gladius,52,,,,"{""matched_paths"": ["".github/chatmodes/planning.chatmode.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:.github/chatmodes,,,,,,,,,
0.2,567-labs/instructor,https://github.com/567-labs/instructor,13190,,,,"{""matched_paths"": ["".cursor/rules/new-features-planning.mdc"", ""docs/examples/multi_modal_gemini.md""], ""queries"": ["".cursor/rules"", ""GEMINI.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:.cursor/rules,,,,,,,,,
0.2,AI-Escape/open-ice,https://github.com/AI-Escape/open-ice,25,,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:AGENTS.md,,,,,,,,,
0.2,AI-Planning/l2p,https://github.com/AI-Planning/l2p,58,,,,"{""matched_paths"": [""l2p/templates/custom/prompt_initial_goal_metric.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:50-199|artifact:*.prompt.md,,,,,,,,,
0.2,AIrjen/OneButtonPrompt,https://github.com/AIrjen/OneButtonPrompt,1065,,,,"{""matched_paths"": [""user_guides/workflow_assist_and_prompt_variant_mode.md""], ""queries"": [""*.prompt.md""]}",.github/workflows,,true,stars:1000+|artifact:*.prompt.md,,,,,,,,,
0.2,ActiveInferenceInstitute/GEO-INFER,https://github.com/ActiveInferenceInstitute/GEO-INFER,11,,,,"{""matched_paths"": [""GEO-INFER-ACT/.cursorrules"", ""GEO-INFER-EXAMPLES/examples/module_orchestrators/HEALTH/AGENTS.md"", ""GEO-INFER-RISK/examples/AGENTS.md"", ""GEO-INFER-SPM/.cursorrules""], ""queries"": ["".cursorrules"", ""AGENTS.md""]}",.github/workflows,,true,stars:10-49|artifact:.cursorrules,,,,,,,,,
0.2,Affitor/affiliate-skills,https://github.com/Affitor/affiliate-skills,474,,,,"{""matched_paths"": ["".cursorrules""], ""queries"": ["".cursorrules""]}",.github/workflows; tests/; spec/,,true,stars:200-999|artifact:.cursorrules,,,,,,,,,
0.2,Agent-Threat-Rule/agent-threat-rules,https://github.com/Agent-Threat-Rule/agent-threat-rules,258,,,,"{""matched_paths"": [""data/skills-sh/skills/github/suggest-awesome-github-copilot-instructions.md"", ""rules/context-exfiltration/ATR-2026-00275-system-prompt-training-data-extraction.yaml""], ""queries"": [""copilot-instructions.md"", ""system-prompt.*""]}",.github/workflows; tests/; spec/,tags=1; releases=1,true,stars:200-999|artifact:copilot-instructions.md,,,,,,,,,
0.2,AgentOps-AI/agentops,https://github.com/AgentOps-AI/agentops,5643,,,,"{""matched_paths"": [""docs/v2/examples/openai_agents.mdx""], ""queries"": [""AGENTS.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:AGENTS.md,,,,,,,,,
0.2,AgentWrapper/agent-orchestrator,https://github.com/AgentWrapper/agent-orchestrator,7599,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:copilot-instructions.md,,,,,,,,,
0.2,Agnuxo1/OpenCLAW-P2P,https://github.com/Agnuxo1/OpenCLAW-P2P,44,,,,"{""matched_paths"": [""paperclaw/integrations/aider/.aider.conf.yml""], ""queries"": ["".aider.conf.yml""]}",.github/workflows,tags=1; releases=0,true,stars:10-49|artifact:.aider.conf.yml,,,,,,,,,
0.2,Agoric/agoric-sdk,https://github.com/Agoric/agoric-sdk,354,,,,"{""matched_paths"": ["".aiderignore""], ""queries"": ["".aiderignore""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.aiderignore,,,,,,,,,
0.2,AlbertoUAH/datos-gob-es-mcp,https://github.com/AlbertoUAH/datos-gob-es-mcp,17,,,,"{""matched_paths"": [""prompts/__init__.py""], ""queries"": [""prompts/""]}",.github/workflows; pytest.ini; tests/,tags=1; releases=1,true,stars:10-49|artifact:prompts/,,,,,,,,,
0.2,Alfanous-team/alfanous,https://github.com/Alfanous-team/alfanous,285,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md"", ""copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.github/copilot-instructions.md,,,,,,,,,
0.2,AngelMunoz/Kipo,https://github.com/AngelMunoz/Kipo,21,,,,"{""matched_paths"": [""GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,true,stars:10-49|artifact:GEMINI.md,,,,,,,,,
0.2,Arenukvern/mcp_flutter,https://github.com/Arenukvern/mcp_flutter,327,,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:.clinerules,,,,,,,,,
0.2,ArisGuimera/MobiAI-Core,https://github.com/ArisGuimera/MobiAI-Core,392,,,,"{""matched_paths"": [""GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:GEMINI.md,,,,,,,,,
0.2,AsiaOstrich/universal-dev-standards,https://github.com/AsiaOstrich/universal-dev-standards,69,,,,"{""matched_paths"": [""integrations/roo-code/.clinerules""], ""queries"": ["".clinerules""]}",.github/workflows; tests/; specs/,tags=1; releases=1,true,stars:50-199|artifact:.clinerules,,,,,,,,,
0.2,Auriti-Labs/geo-optimizer-skill,https://github.com/Auriti-Labs/geo-optimizer-skill,479,,,,"{""matched_paths"": [""src/geo_optimizer/skills/catalog/geo_ai_discovery_readiness/prompt.md""], ""queries"": [""*.prompt.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:200-999|artifact:*.prompt.md,,,,,,,,,
0.2,Automattic/newspack-workspace,https://github.com/Automattic/newspack-workspace,16,,,,"{""matched_paths"": [""plugins/newspack-blocks/CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=1,false,stars:10-49|artifact:CLAUDE.md,,,,,,,,,
0.2,AyayaXiaowang/Ayaya_Miliastra_Editor,https://github.com/AyayaXiaowang/Ayaya_Miliastra_Editor,297,,,,"{""matched_paths"": [""assets/ocr_templates/1080-100-CN/claude.md"", ""engine/configs/rules/claude.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows; pytest.ini; tests/,,false,stars:200-999|artifact:CLAUDE.md,,,,,,,,,
0.2,Azure-Samples/Copilot-Studio-with-Azure-AI-Search,https://github.com/Azure-Samples/Copilot-Studio-with-Azure-AI-Search,26,,,,"{""matched_paths"": ["".github/chatmodes/README.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:10-49|artifact:.github/chatmodes,,,,,,,,,
0.2,Azure-Samples/art-voice-agent-accelerator,https://github.com/Azure-Samples/art-voice-agent-accelerator,73,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:50-199|artifact:.github/copilot-instructions.md,,,,,,,,,
0.2,Azure/azure-sdk-tools,https://github.com/Azure/azure-sdk-tools,132,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:copilot-instructions.md,,,,,,,,,
0.2,Bitterbot-AI/bitterbot-desktop,https://github.com/Bitterbot-AI/bitterbot-desktop,2392,,,,"{""matched_paths"": [""src/agents/system-prompt.ts""], ""queries"": [""system-prompt.*""]}",.github/workflows; test/,tags=1; releases=1,true,stars:1000+|artifact:system-prompt.*,,,,,,,,,
0.2,Brawl345/Image-Reverse-Search-WebExtension,https://github.com/Brawl345/Image-Reverse-Search-WebExtension,157,,,,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows,tags=1; releases=1,true,stars:50-199|artifact:.windsurfrules,,,,,,,,,
0.2,CommunityToolkit/Aspire,https://github.com/CommunityToolkit/Aspire,611,,,,"{""matched_paths"": ["".github/chatmodes/New Aspire Hosting integration.chatmode.md""], ""queries"": ["".github/chatmodes""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:200-999|artifact:.github/chatmodes,,,,,,,,,
0.2,Correia-jpv/fucking-awesome-swift,https://github.com/Correia-jpv/fucking-awesome-swift,15,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": [""copilot-instructions.md""]}",.github/workflows,,true,stars:10-49|artifact:copilot-instructions.md,,,,,,,,,
0.2,DamianB-BitFlipper/proton-drive-sync,https://github.com/DamianB-BitFlipper/proton-drive-sync,666,,,,"{""matched_paths"": [""AGENTS.md""], ""queries"": [""AGENTS.md""]}",.github/workflows,tags=1; releases=1,true,stars:200-999|artifact:AGENTS.md,,,,,,,,,
0.2,DataDog/dd-trace-js,https://github.com/DataDog/dd-trace-js,817,,,,"{""matched_paths"": ["".aider.conf.yml""], ""queries"": ["".aider.conf.yml""]}",.gitlab-ci.yml,tags=1; releases=1,true,stars:200-999|artifact:.aider.conf.yml,,,,,,,,,
0.2,DeadmanAbir/AgentGenesis,https://github.com/DeadmanAbir/AgentGenesis,119,,,,"{""matched_paths"": [""src/content/components/chatGemini.mdx""], ""queries"": [""GEMINI.md""]}",.github/workflows,,true,stars:50-199|artifact:GEMINI.md,,,,,,,,,
0.2,DontFuckMyCode/dfmc,https://github.com/DontFuckMyCode/dfmc,18,,,,"{""matched_paths"": ["".windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows; go.mod,,true,stars:10-49|artifact:.windsurfrules,,,,,,,,,
0.2,EliasOenal/multimon-ng,https://github.com/EliasOenal/multimon-ng,1113,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md"", ""copilot-instructions.md""]}",.github/workflows; test/,tags=1; releases=1,true,stars:1000+|artifact:.github/copilot-instructions.md,,,,,,,,,
0.2,EmilStenstrom/justhtml,https://github.com/EmilStenstrom/justhtml,1144,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md"", ""copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:1000+|artifact:.github/copilot-instructions.md,,,,,,,,,
0.2,FlareCoding/StelluxOS,https://github.com/FlareCoding/StelluxOS,59,,,,"{""matched_paths"": ["".cursor/rules/build.md""], ""queries"": ["".cursor/rules""]}",.github/workflows; specs/,,true,stars:50-199|artifact:.cursor/rules,,,,,,,,,
0.2,GalacticDynamics/coordinax,https://github.com/GalacticDynamics/coordinax,35,,,,"{""matched_paths"": ["".github/copilot-instructions.md""], ""queries"": ["".github/copilot-instructions.md""]}",.github/workflows; tests/,tags=1; releases=1,true,stars:10-49|artifact:.github/copilot-instructions.md,,,,,,,,,
0.2,GoldenPotato137/PotatoVN,https://github.com/GoldenPotato137/PotatoVN,1370,,,,"{""matched_paths"": ["".clinerules""], ""queries"": ["".clinerules""]}",.github/workflows,,true,stars:1000+|artifact:.clinerules,,,,,,,,,
0.2,GongLingRui/juben,https://github.com/GongLingRui/juben,78,,,,"{""matched_paths"": [""prompts/python_prompts/series_analysis_system_system.py"", ""prompts/python_prompts/short_drama_creater_system_system.py""], ""queries"": [""prompts/""]}",.github/workflows; tests/,,true,stars:50-199|artifact:prompts/,,,,,,,,,
0.2,GoogleCloudPlatform/vertex-ai-creative-studio,https://github.com/GoogleCloudPlatform/vertex-ai-creative-studio,1130,,,,"{""matched_paths"": [""experiments/mcp-genmedia/mcp-genmedia-go/GEMINI.md""], ""queries"": [""GEMINI.md""]}",.github/workflows; test/,tags=1; releases=1,true,stars:1000+|artifact:GEMINI.md,,,,,,,,,
0.2,Hacksore/cursed-repo,https://github.com/Hacksore/cursed-repo,91,,,,"{""matched_paths"": ["".aider.conf.yml"", "".aiderignore"", "".clinerules"", "".windsurfrules""], ""queries"": ["".aider.conf.yml"", "".aiderignore"", "".clinerules"", "".windsurfrules""]}",.travis.yml; .circleci; Jenkinsfile; azure-pipelines.yml; .gitlab-ci.yml; bitbucket-pipelines.yml; .buildkite; test/,,true,stars:50-199|artifact:.aider.conf.yml,,,,,,,,,
0.2,Houseofmvps/codesight,https://github.com/Houseofmvps/codesight,1138,,,,"{""matched_paths"": [""tests/fixtures/monorepo-init/.windsurfrules""], ""queries"": ["".windsurfrules""]}",.github/workflows; tests/,,true,stars:1000+|artifact:.windsurfrules,,,,,,,,,
0.2,InsightSoftwareConsortium/ITK,https://github.com/InsightSoftwareConsortium/ITK,1624,C++,"Insight Toolkit (ITK) -- Official Repository.  ITK builds on a proven, spatially-oriented architecture for processing, segmentation, and registration of scientific images in two, three, or more dimensions.",cpp|hacktoberfest|image-analysis|insight-toolkit|itk|medical-imaging|numfocus|open-science|open-source|python|reproducible-research|scientific-computing,"{""matched_paths"": [""CLAUDE.md""], ""queries"": [""CLAUDE.md""]}",.github/workflows,tags=1; releases=1,false,stars:1000+|artifact:CLAUDE.md,,,,,,,,,
